기간	자치구	노선수	수량	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별
기간	자치구	노선수	수량	은행나무	버즘나무	느티나무	벚나무	은단풍나무	메타세콰이어	회화나무	가중나무	감나무	수양버들	목백합	칠엽수	포플러	느릅나무	살구나무	무궁화	소나무	목련	기타	이팝
2004	서울시	831	276,779	116,628	98,065	22,634	12,462	1,978	4,976	7,992	901	649	828	442	450	129	1,094	257	115	359	191	6,629	-
2004	종로구	42	7,411	4,783	1,671	333	145	9	33	45	52	-	-	7	4	5	-	-	88	198	-	38	-
2004	중구	35	7,392	5,039	1,657	399	58	-	-	163	28	-	-	-	-	-	-	-	-	-	-	48	-
2004	용산구	18	7,678	4,602	2,219	10	166	-	-	-	7	112	-	47	-	42	-	125	-	-	190	158	-
2004	성동구	32	7,169	1,234	3,617	1,008	429	123	50	415	84	14	1	-	1	3	37	-	-	-	-	153	-
2004	광진구	21	6,626	1,757	3,824	497	-	29	-	-	-	33	-	79	83	-	-	-	-	-	-	324	-
2004	동대문구	31	9,352	3,221	4,953	419	309	117	100	156	8	-	-	-	-	6	-	-	-	-	-	63	-
2004	중랑구	42	7,226	1,941	3,243	1,279	-	282	217	-	109	-	-	-	-	-	-	-	-	-	-	155	-
2004	성북구	33	7,075	2,770	2,647	470	598	278	72	158	8	69	-	5	-	-	-	-	-	-	-	-	-
2004	강북구	16	6,444	3,331	1,252	98	504	470	-	227	-	-	2	5	-	-	156	1	-	-	-	398	-
2004	도봉구	38	8,729	4,788	1,265	684	1,602	37	17	189	66	-	-	37	-	-	-	-	-	3	1	40	-
2004	노원구	19	14,353	6,929	4,663	977	549	49	179	75	-	-	-	-	-	-	-	77	-	-	-	855	-
2004	은평구	17	9,026	4,737	2,363	352	829	-	2	671	1	4	14	-	7	13	-	-	27	-	-	6	-
2004	서대문구	27	7,349	3,396	3,098	180	351	1	29	73	-	-	-	-	5	12	-	1	-	-	-	203	-
2004	마포구	68	11,489	3,400	4,450	1,828	221	-	267	878	-	52	-	-	-	-	-	52	-	-	-	341	-
2004	양천구	45	11,918	5,571	5,021	887	289	36	16	58	-	39	-	-	-	-	-	-	-	-	-	1	-
2004	강서구	31	10,697	5,394	1,849	985	-	-	1,299	232	-	-	-	-	-	-	-	-	-	-	-	938	-
2004	구로구	61	8,925	4,090	3,012	914	674	6	34	-	-	-	36	-	-	-	-	-	-	-	-	159	-
2004	금천구	8	6,618	3,930	1,300	251	895	-	35	131	-	54	-	-	-	21	-	-	-	-	-	1	-
2004	영등포구	54	15,976	5,408	5,289	2,311	1,737	119	52	203	18	24	-	1	87	10	-	-	-	-	-	717	-
2004	동작구	15	5,662	2,494	1,886	380	594	-	20	10	-	-	8	-	-	-	-	-	-	-	-	270	-
2004	관악구	29	7,279	2,666	2,985	189	598	241	168	88	-	234	7	-	-	-	-	-	-	71	-	32	-
2004	서초구	38	16,146	3,555	7,938	2,063	271	-	1,381	82	519	3	-	75	259	-	-	-	-	-	-	-	-
2004	강남구	56	21,190	7,074	10,995	1,240	326	-	915	545	-	-	4	-	-	17	-	-	-	-	-	74	-
2004	송파구	28	21,972	12,981	7,942	483	27	65	-	-	-	-	-	186	-	-	-	1	-	87	-	200	-
2004	강동구	15	16,794	7,415	6,028	2,278	438	-	90	63	-	11	206	-	-	-	-	-	-	-	-	265	-
2004	공원녹지사업소	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2004	건설안전본부	12	16,283	4,122	2,898	2,119	852	116	-	3,530	1	-	550	-	4	-	901	-	-	-	-	1,190	-
